city,month,month_name,average_temperature,average_high_temperature,average_low_temperature,average_daily_precipitation,average_max_wind_speed,rainy_days,comfortable_days,excellent_weather_days,average_tourism_score,total_observed_days,rainy_day_percentage,comfortable_day_percentage,excellent_weather_percentage
Puerto Vallarta,2,February,21.594117647058823,26.84941176470588,16.97176470588235,0.47882352941176476,15.443529411764706,5,83,81,2.9411764705882355,85,5.88235294117647,97.6470588235294,95.29411764705881
Puerto Vallarta,3,March,21.438709677419354,26.967741935483872,16.193548387096776,0.0,16.770967741935486,0,92,92,2.989247311827957,93,0.0,98.9247311827957,98.9247311827957
Puerto Vallarta,4,April,22.48,27.514444444444447,17.514444444444443,0.0022222222222222222,17.773333333333333,0,88,88,2.977777777777778,90,0.0,97.77777777777777,97.77777777777777
Puerto Vallarta,5,May,25.30537634408602,30.374193548387098,20.43548387096774,0.11827956989247312,17.693548387096776,3,34,34,2.3548387096774195,93,3.225806451612903,36.55913978494624,36.55913978494624
Puerto Vallarta,6,June,27.05888888888889,30.534444444444443,23.966666666666665,4.2444444444444445,16.534444444444443,31,36,27,2.1777777777777776,90,34.44444444444444,40.0,30.0
Puerto Vallarta,7,July,27.56021505376344,31.112903225806452,24.60967741935484,6.456989247311828,12.83010752688172,62,15,8,1.7956989247311828,93,66.66666666666666,16.129032258064516,8.60215053763441
Puerto Vallarta,8,August,27.573118279569893,31.235483870967744,24.804301075268818,5.889247311827957,11.70752688172043,77,10,6,1.6559139784946237,93,82.79569892473118,10.75268817204301,6.451612903225806
Puerto Vallarta,9,September,27.584444444444443,31.106666666666666,24.864444444444448,4.721111111111111,12.724444444444446,67,12,4,1.788888888888889,90,74.44444444444444,13.333333333333334,4.444444444444445
Puerto Vallarta,10,October,27.319354838709675,30.96021505376344,24.2,4.091397849462366,13.375268817204303,42,21,12,2.043010752688172,93,45.16129032258064,22.58064516129032,12.903225806451612
Puerto Vallarta,11,November,25.756666666666664,30.216666666666665,21.837777777777777,0.29666666666666663,13.921111111111113,5,33,31,2.3444444444444446,90,5.555555555555555,36.666666666666664,34.44444444444444
Puerto Vallarta,12,December,23.349462365591396,28.19032258064516,19.31290322580645,0.35161290322580646,13.611827956989249,5,83,82,2.881720430107527,93,5.376344086021505,89.24731182795699,88.17204301075269
Tulum,1,January,24.441935483870967,27.461290322580645,22.02795698924731,1.8311827956989248,17.822580645161292,45,92,86,2.924731182795699,93,48.38709677419355,98.9247311827957,92.47311827956989
Tulum,2,February,24.655294117647056,28.074117647058827,21.99058823529412,1.7141176470588233,18.294117647058822,31,83,77,2.8941176470588235,85,36.470588235294116,97.6470588235294,90.58823529411765
Tulum,3,March,26.206451612903223,29.427956989247313,23.706451612903223,1.464516129032258,19.46344086021505,32,68,63,2.6559139784946235,93,34.40860215053764,73.11827956989248,67.74193548387096
Tulum,4,April,26.656666666666666,30.145555555555553,23.864444444444448,1.2922222222222222,19.484444444444442,21,39,36,2.3666666666666667,90,23.333333333333332,43.333333333333336,40.0
Tulum,5,May,28.282795698924733,31.456989247311828,25.8,1.832258064516129,18.335483870967742,28,3,2,1.956989247311828,93,30.107526881720432,3.225806451612903,2.1505376344086025
Tulum,6,June,28.05,31.15,25.642222222222223,9.444444444444445,18.666666666666668,64,14,0,1.7555555555555555,90,71.11111111111111,15.555555555555555,0.0
Tulum,7,July,28.381720430107528,31.749462365591395,25.777419354838713,3.849462365591398,15.99247311827957,58,9,1,1.8494623655913978,93,62.365591397849464,9.67741935483871,1.0752688172043012
Tulum,8,August,28.18709677419355,32.08494623655914,25.295698924731184,5.312903225806452,14.04731182795699,64,8,1,1.7849462365591398,93,68.81720430107528,8.60215053763441,1.0752688172043012
Tulum,9,September,27.74777777777778,31.65,24.943333333333335,5.533333333333333,13.274444444444445,66,14,1,1.7777777777777777,90,73.33333333333333,15.555555555555555,1.1111111111111112
Tulum,10,October,26.456989247311828,30.592473118279568,23.559139784946236,5.119354838709677,14.66774193548387,58,29,13,2.021505376344086,93,62.365591397849464,31.182795698924732,13.978494623655912
Tulum,11,November,25.2,29.236666666666668,22.102222222222224,3.5511111111111116,14.786666666666665,44,69,57,2.611111111111111,90,48.888888888888886,76.66666666666667,63.33333333333333
Tulum,12,December,23.96989247311828,27.69139784946237,21.17956989247312,3.1268817204301076,15.42258064516129,42,92,72,2.774193548387097,93,45.16129032258064,98.9247311827957,77.41935483870968
