city,year,month,month_name,average_temperature,average_high_temperature,average_low_temperature,average_temperature_range,total_precipitation,rainy_days,heavy_rain_days,hot_days,comfortable_days,average_max_wind_speed,average_tourism_score,number_of_days,rainy_day_percentage,hot_day_percentage,comfortable_day_percentage
Mexico City,2025,6,June,17.34,22.553333333333335,13.563333333333333,8.99,331.9,24,5,0,16,8.996666666666666,1.8333333333333333,30,80.0,0.0,53.333333333333336
Mexico City,2025,7,July,16.896774193548385,22.806451612903224,12.600000000000001,10.206451612903226,220.1,23,2,0,23,11.580645161290322,2.161290322580645,31,74.19354838709677,0.0,74.19354838709677
Mexico City,2025,8,August,17.016129032258064,22.951612903225808,12.693548387096774,10.258064516129032,240.39999999999998,29,2,0,26,10.703225806451613,2.2580645161290325,31,93.54838709677419,0.0,83.87096774193549
Mexico City,2025,9,September,16.866666666666667,22.926666666666666,12.966666666666667,9.96,285.8,30,1,0,27,10.343333333333334,2.3,30,100.0,0.0,90.0
Mexico City,2025,10,October,16.92258064516129,23.30322580645161,11.932258064516128,11.370967741935484,128.1,11,2,0,23,12.187096774193549,2.5161290322580645,31,35.483870967741936,0.0,74.19354838709677
Mexico City,2025,11,November,16.403333333333332,23.296666666666667,10.07,13.226666666666667,10.3,2,0,0,23,12.783333333333333,2.7333333333333334,30,6.666666666666667,0.0,76.66666666666667
Mexico City,2025,12,December,14.95483870967742,21.14516129032258,9.516129032258064,11.629032258064516,12.299999999999999,5,0,0,9,11.35483870967742,2.2903225806451615,31,16.129032258064516,0.0,29.03225806451613
Oaxaca,2023,1,January,17.893548387096775,26.548387096774192,10.235483870967743,16.31290322580645,0.3,0,0,0,30,14.825806451612904,2.967741935483871,31,0.0,0.0,96.7741935483871
Oaxaca,2023,2,February,18.625,27.582142857142856,10.739285714285714,16.84285714285714,0.1,0,0,0,24,15.9,2.857142857142857,28,0.0,0.0,85.71428571428571
Oaxaca,2023,3,March,20.980645161290322,30.01290322580645,13.03225806451613,16.980645161290322,1.6,1,0,3,18,21.35483870967742,2.5483870967741935,31,3.225806451612903,9.67741935483871,58.06451612903226
Oaxaca,2023,4,April,22.233333333333334,31.163333333333334,15.203333333333335,15.96,21.900000000000002,7,0,11,7,19.146666666666665,2.2,30,23.333333333333332,36.666666666666664,23.333333333333332
Oaxaca,2023,5,May,22.203225806451613,30.82903225806452,15.435483870967742,15.393548387096773,53.400000000000006,7,1,10,11,17.932258064516127,2.225806451612903,31,22.58064516129032,32.25806451612903,35.483870967741936
Oaxaca,2023,6,June,22.483333333333334,30.53666666666667,15.546666666666665,14.99,49.1,10,0,14,11,16.77,2.2666666666666666,30,33.33333333333333,46.666666666666664,36.666666666666664
Oaxaca,2023,7,July,19.69677419354839,26.129032258064516,14.625806451612904,11.503225806451612,185.6,20,2,0,31,11.658064516129032,2.6451612903225805,31,64.51612903225806,0.0,100.0
Oaxaca,2023,8,August,19.806451612903224,26.480645161290322,14.648387096774194,11.832258064516129,146.4,18,1,0,31,11.241935483870968,2.6774193548387095,31,58.06451612903226,0.0,100.0
Oaxaca,2023,9,September,19.759999999999998,26.58,13.976666666666667,12.603333333333333,59.0,10,1,0,29,10.873333333333333,2.8666666666666667,30,33.33333333333333,0.0,96.66666666666667
Oaxaca,2023,10,October,20.074193548387097,27.33225806451613,14.674193548387096,12.658064516129032,75.8,12,0,0,31,12.899999999999999,2.774193548387097,31,38.70967741935484,0.0,100.0
Oaxaca,2023,11,November,19.959999999999997,27.646666666666665,13.883333333333333,13.763333333333332,14.100000000000001,5,0,0,28,13.876666666666667,2.933333333333333,30,16.666666666666664,0.0,93.33333333333333
Oaxaca,2023,12,December,17.532258064516128,25.519354838709678,10.829032258064515,14.69032258064516,1.7000000000000002,0,0,0,30,13.667741935483871,2.967741935483871,31,0.0,0.0,96.7741935483871
Oaxaca,2024,1,January,19.312903225806455,27.90967741935484,11.748387096774193,16.161290322580644,0.0,0,0,1,26,15.770967741935483,2.838709677419355,31,0.0,3.225806451612903,83.87096774193549
Oaxaca,2024,2,February,19.76206896551724,29.779310344827586,11.327586206896552,18.451724137931034,8.0,1,0,3,15,18.86551724137931,2.4827586206896552,29,3.4482758620689653,10.344827586206897,51.724137931034484
Oaxaca,2024,3,March,23.03548387096774,32.18064516129032,15.087096774193547,17.093548387096774,1.9000000000000001,1,0,19,2,22.458064516129035,2.0,31,3.225806451612903,61.29032258064516,6.451612903225806
Oaxaca,2024,4,April,23.65,32.56333333333333,16.15,16.413333333333334,21.3,2,0,21,0,21.68,1.8333333333333333,30,6.666666666666667,70.0,0.0
Oaxaca,2024,5,May,25.648387096774194,34.803225806451614,18.393548387096775,16.40967741935484,7.5,2,0,31,0,21.903225806451612,1.967741935483871,31,6.451612903225806,100.0,0.0
Oaxaca,2024,6,June,21.776666666666664,28.313333333333333,17.07,11.243333333333334,197.5,16,2,7,19,16.983333333333334,2.2,30,53.333333333333336,23.333333333333332,63.33333333333333
Oaxaca,2024,7,July,19.280645161290323,24.683870967741935,14.706451612903225,9.97741935483871,197.9,21,0,0,29,10.40967741935484,2.4838709677419355,31,67.74193548387096,0.0,93.54838709677419
Oaxaca,2024,8,August,19.13225806451613,25.37741935483871,14.338709677419354,11.038709677419355,201.7,23,2,0,31,10.638709677419355,2.6129032258064515,31,74.19354838709677,0.0,100.0
Oaxaca,2024,9,September,19.196666666666665,24.41,15.35,9.06,222.0,26,2,0,27,11.366666666666667,2.3333333333333335,30,86.66666666666667,0.0,90.0
Oaxaca,2024,10,October,18.0,23.570967741935487,13.429032258064517,10.141935483870967,169.5,16,2,0,27,10.858064516129032,2.5483870967741935,31,51.61290322580645,0.0,87.09677419354838
Oaxaca,2024,11,November,18.2,25.759999999999998,11.32,14.44,12.600000000000001,4,0,0,30,10.046666666666665,2.966666666666667,30,13.333333333333334,0.0,100.0
Oaxaca,2024,12,December,17.11935483870968,24.770967741935483,10.69032258064516,14.080645161290322,6.800000000000001,1,0,0,29,10.964516129032257,2.903225806451613,31,3.225806451612903,0.0,93.54838709677419
Oaxaca,2025,1,January,17.883870967741935,25.703225806451613,11.209677419354838,14.493548387096775,0.3,0,0,0,31,13.09032258064516,3.0,31,0.0,0.0,100.0
Oaxaca,2025,2,February,19.775000000000002,27.74285714285714,12.964285714285714,14.778571428571428,4.7,1,0,0,27,13.25357142857143,2.9642857142857144,28,3.571428571428571,0.0,96.42857142857143
Oaxaca,2025,3,March,22.093548387096774,30.583870967741937,14.651612903225805,15.932258064516128,2.6999999999999997,1,0,5,11,17.419354838709676,2.3548387096774195,31,3.225806451612903,16.129032258064516,35.483870967741936
Oaxaca,2025,4,April,21.32,29.88,13.773333333333333,16.106666666666666,8.8,3,0,4,14,18.003333333333334,2.433333333333333,30,10.0,13.333333333333334,46.666666666666664
Oaxaca,2025,5,May,22.238709677419354,30.041935483870965,15.941935483870967,14.100000000000001,106.2,14,0,8,12,15.64516129032258,2.096774193548387,31,45.16129032258064,25.806451612903224,38.70967741935484
Oaxaca,2025,6,June,18.946666666666665,23.720000000000002,15.3,8.42,343.2,27,4,0,25,11.370000000000001,2.1666666666666665,30,90.0,0.0,83.33333333333334
Oaxaca,2025,7,July,19.30322580645161,25.458064516129035,13.670967741935485,11.787096774193548,55.1,15,0,0,30,9.87741935483871,2.870967741935484,31,48.38709677419355,0.0,96.7741935483871
Oaxaca,2025,8,August,18.780645161290323,25.296774193548387,13.596774193548388,11.7,148.4,22,1,0,31,11.064516129032258,2.6129032258064515,31,70.96774193548387,0.0,100.0
Oaxaca,2025,9,September,18.93,24.666666666666668,14.506666666666666,10.16,178.6,22,1,0,30,10.996666666666666,2.6333333333333333,30,73.33333333333333,0.0,100.0
Oaxaca,2025,10,October,18.56451612903226,24.751612903225805,13.438709677419356,11.312903225806451,131.3,16,1,0,31,11.51290322580645,2.7096774193548385,31,51.61290322580645,0.0,100.0
Oaxaca,2025,11,November,18.883333333333333,26.243333333333332,12.463333333333333,13.78,5.8999999999999995,2,0,0,29,11.993333333333334,2.966666666666667,30,6.666666666666667,0.0,96.66666666666667
